TEST,#genre#
UK| CHALLENGE HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9540
UK| BT SPORT EXTRA 3 HD (Live Match Only:,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9541
UK| BT SPORT EXTRA 2 HD (Live Match Only:,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9542
UK| BT SPORT EXTRA 1 HD (Live Match Only:,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9543
UK| BT SPORT / ESPN HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9544
UK| BT SPORT 3 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9545
UK| BT SPORT 2 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9546
UK| BT SPORT 1 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9547
UK| BBC NEWS HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9548
UK| BBC4 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9549
UK| BBC3 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9550
UK| BBC2 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9551
UK| RACING UK HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9552
UK| 4 SEVEN HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/9553
UK| BBC1 HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17584
UK| AL JAZEERA HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17596
UK| CNN INTERNAIONAL HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17604
UK| RTE NEWS HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17613
UK| DAVE HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17625
UK| BET HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17640
UK| AMC HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17662
UK| ALIBI HD,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/17675
UK| SKY CINEMA THRILLER,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60241
UK| SKY CINEMA SELECT,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60242
UK| SKY CINEMA HITS,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60243
UK| SKY CINEMA DRAMA,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60244
UK| SKY CINEMA DISNEY,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60245
UK| SKY CINEMA COMEDY,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60246
UK| SKY SPORTS FOOTBALL,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60406
UK| SKY SPORTS RACING,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60407
UK| SKY CINEMA ACTION,http://silvertv.net:1997/opentvromania/ZADAoihhadj97adaziohda/60509
