TEST,#genre#
kk金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
kk开心影院,http://hpull.kktv8.com/livekktv/111536805/playlist.m3u8
歐美影院,http://101.71.255.229:6610/zjhs/2/10037/z.m3u8?ZTEUPSEAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10037&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=Q894B3E8EEZ3T19UG09L8B03GSWB&ts=1553493266
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSEAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
天映频道Celestial Movies,http://210.210.155.35/qwr9ew/s/s33/index.m3u8
卡式台,http://live.vpnyun.tk:8080/demo/456321/23
澳视澳门,https://live4.tdm.com.mo/ch1/_definst_/ch1.live/playlist.m3u8
澳视电影,https://live4.tdm.com.mo/ch3/_definst_/ch3.live/playlist.m3u8
澳视体育,https://live4.tdm.com.mo/ch4/_definst_/sport_ch4.live/playlist.m3u8
澳视资讯,https://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
澳視澳門,http://live4.tdm.com.mo:80/ch1/_definst_/ch1.live/playlist.m3u8
澳視衛星,http://live4.tdm.com.mo/ch3/_definst_//ch3.live/playlist.m3u8
澳视综艺,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/index.m3u8
澳門微电影,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8
TW TV,#genre#
TVBS新闻 FHD ★,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
东森财经新闻 FHD ★,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森新闻 FHD ★,http://seb.sason.top/sc/dsxw_fhd.m3u8
华视新闻 FHD ★,http://seb.sason.top/sc/hsxw_fhd.m3u8
民视新闻 FHD ★,http://seb.sason.top/sc/msxw_fhd.m3u8
三立iNews FHD ★,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live FHD ★,http://seb.sason.top/sc/sllive_fhd.m3u8
台视新闻 FHD ★,http://seb.sason.top/sc/tsxw_fhd.m3u8
中视新闻 FHD ★,http://seb.sason.top/sc/zsxw_fhd.m3u8
中天新闻 FHD ★,http://seb.sason.top/sc/ztxw_fhd.m3u8
壹新闻 FHD ★,http://stream.nexttv.com.tw/n001/hd/live.m3u8
三立新闻,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
民视 ★,http://seb.sason.top/ptv/ftv.php?id=ms
民视第一 ★,http://seb.sason.top/ptv/ftv.php?id=dy
民视台湾 ★,http://seb.sason.top/ptv/ftv.php?id=tw
民视影剧 ★,http://seb.sason.top/ptv/ftv.php?id=yj
民视综艺 ★,http://seb.sason.top/ptv/ftv.php?id=zy
民视旅游 ★,http://seb.sason.top/ptv/ftv.php?id=ly
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
TVBS新聞台,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
TVBS歡樂台,http://220.158.149.14:9999/live/TV00000000000000000079@HHZT;LIVE
CNEX Taiwan,http://220.158.149.14:9999/live/TV00000000000000000083@HHZT;LIVE
HBO Asia,http://220.158.149.14:9999/live/TV00000000000000000166@HHZT;LIVE
博斯魅力,https://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
空中英語教室,http://220.158.149.14:9999/live/TV00000000000000000077@HHZT;LIVE
緯來體育台,http://220.158.149.14:9999/live/TV00000000000000000078@HHZT;LIVE

